Samp,Newhyb Run1?,1_P1_ALB,1_P2_SHB,1_F1,1_F2,1_BCALB,1_BCSHB,Newhybs1_assign,Newhyb Run2?,2_P1_ALB,2_P2_CHB,2_F1,2_F2,2_BCALB,2_BCCHB,Newhybs2_assign,Newhyb Run3?,3_P1_SHB,3_P2_REB,3_F1,3_F2,3_BCSHB,3_BCREB,Newhybs3_assign,No Newhyb?,Final_NH_assign
030_02_ALB,1,0.99996,0,0,0,0.00004,0,ALB,2,0.99982,0,0,0,0.00018,0,ALB,,,,,,,,,,ALB
031_02_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99994,0,0,0,0.00006,0,ALB,,,,,,,,,,ALB
032_02_ALB,1,0.99999,0,0,0,0.00001,0,ALB,2,0.99996,0,0,0,0.00004,0,ALB,,,,,,,,,,ALB
033_02_ALB,1,0.99985,0,0,0,0.00015,0,ALB,2,0.99993,0,0,0,0.00007,0,ALB,,,,,,,,,,ALB
034_02_ALB,1,0.9999,0,0,0,0.0001,0,ALB,2,0.99994,0,0,0,0.00006,0,ALB,,,,,,,,,,ALB
035_02_ALB,1,0.99967,0,0,0,0.00032,0,ALB,2,0.99983,0,0,0,0.00017,0,ALB,,,,,,,,,,ALB
036_02_ALB,1,0.99998,0,0,0,0.00002,0,ALB,2,0.99988,0,0,0,0.00012,0,ALB,,,,,,,,,,ALB
037_02_HYB,1,0,0.9999,0,0,0,0.0001,SHB,,,,,,,,,3,0.99991,0,0,0,0.00009,0,SHB,,SHB
038_02_HYB,1,0,0.99988,0,0,0,0.00012,SHB,,,,,,,,,3,0.99917,0,0,0.00001,0.00082,0,SHB,,SHB
039_02_SHB,1,0,0.99993,0,0,0,0.00007,SHB,,,,,,,,,3,0.99992,0,0,0,0.00008,0,SHB,,SHB
040_02_SHB,1,0,0.99993,0,0,0,0.00007,SHB,,,,,,,,,3,0.99995,0,0,0,0.00005,0,SHB,,SHB
041_02_SHB,1,0,0.99988,0,0,0,0.00012,SHB,,,,,,,,,3,0.99978,0,0,0,0.00022,0,SHB,,SHB
042_02_SHB,1,0,0.99993,0,0,0,0.00007,SHB,,,,,,,,,3,0.99984,0,0,0,0.00016,0,SHB,,SHB
043_02_SHB,1,0,0.99992,0,0,0,0.00008,SHB,,,,,,,,,3,0.9995,0,0,0.00001,0.00048,0,SHB,,SHB
044_02_SHB,1,0,0.99995,0,0,0,0.00005,SHB,,,,,,,,,3,0.9999,0,0,0,0.0001,0,SHB,,SHB
045_02_SHB,1,0,0.9999,0,0,0,0.0001,SHB,,,,,,,,,3,0.99947,0,0,0.00001,0.00052,0,SHB,,SHB
046_02_SHB,1,0,0.99996,0,0,0,0.00004,SHB,,,,,,,,,3,0.99993,0,0,0,0.00007,0,SHB,,SHB
047_02_SHB,1,0,0.99994,0,0,0,0.00006,SHB,,,,,,,,,3,0.99988,0,0,0,0.00012,0,SHB,,SHB
048_02_SHB,1,0,0.9999,0,0,0,0.0001,SHB,,,,,,,,,3,0.99943,0,0,0.00001,0.00055,0,SHB,,SHB
049_02_SHB,1,0,0.99996,0,0,0,0.00004,SHB,,,,,,,,,3,0.99994,0,0,0,0.00006,0,SHB,,SHB
050_02_SHB,1,0,0.99998,0,0,0,0.00002,SHB,,,,,,,,,3,0.99977,0,0,0.00001,0.00023,0,SHB,,SHB
051_02_SHB,1,0,0.99995,0,0,0,0.00005,SHB,,,,,,,,,3,0.99984,0,0,0,0.00016,0,SHB,,SHB
052_02_SHB,1,0,0.99988,0,0,0,0.00012,SHB,,,,,,,,,3,0.99994,0,0,0,0.00006,0,SHB,,SHB
053_02_SHB,1,0,0.99998,0,0,0,0.00002,SHB,,,,,,,,,3,0.99969,0,0,0.00001,0.00031,0,SHB,,SHB
